,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
0,"Mix@36  The Westin
                                    ",['Lounge'],"The Westin, Mundhwa",4.2,707.0,3.8,0.0,4300,North Indian,Continental,Asian,Finger Food,,,,,Lounge,,Coctails, Chaat, Beer,,,,, Mundhwa
1,"angan  The Westin
                                    ",['Fine Dining'],"The Westin, Mundhwa",4.1,344.0,3.8,0.0,3500,North Indian,Mughlai,,,,,,,Fine Dining,,Biryani, Veg Platter, Dal Mahani, Butter Chicen, Naan, Paneer Tia, ulfi, Mundhwa
2,"Coriander itchen  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.5,541.0,3.8,0.0,3200,Mediterranean,Asian,North Indian,,,,,,Fine Dining,,Pasta, Panipuri, Waffles, Pizza, Salad, Chaat, Noodle, Bund Garden Road
3,"The Maret  The Westin
                                    ",['Fine Dining'],"The Westin, Mundhwa",4.0,55.0,3.8,0.0,3200,Asian,European,North Indian,,,,,,Fine Dining,,Vanilla Ice Cream, Chaat, Sushi,,,,, Mundhwa
4,"Vandaag  Vivanta Pune
                                    ","['Pub', 'Casual Dining']","Vivanta Pune, Hinjewadi",3.9,113.0,3.8,0.0,3100,Finger Food,Continental,,,,,,,Pub,Casual Dining,Coctails, Beer, Peri Peri Chicen, Fish, Veg Platter,,, Hinjewadi
5,"Baan Tao  Hyatt Pune
                                    ",['Fine Dining'],"Hyatt Pune, Nagar Road",4.5,739.0,3.8,0.0,3000,Salad,Asian,Malaysian,Vietnamese,Thai,Chinese,,,Fine Dining,,Sushi, Salad, Dumplings, Tom Yum Soup, Dimsum Lunch, Clear Soup, Chicen Dim Sum, Nagar Road
6,"Zeera  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.1,159.0,3.8,0.0,3000,North Indian,,,,,,,,Fine Dining,,Paan Ice Cream, Biryani, Coffee, Pindi Chole, Tii, Garlic Naan, Thali, Bund Garden Road
7,"oji  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.1,199.0,3.8,0.0,3000,Thai,Japanese,Chinese,,,,,,Fine Dining,,Sushi, Coctails, Salmon, Chicen Clay Pot, ung Pao Chicen, Moctails, Sashimi, Bund Garden Road
8,"Feast  Sheraton Grand
                                    ",['Fine Dining'],"Sheraton Grand, Bund Garden Road",4.5,577.0,3.8,0.0,3000,European,Asian,North Indian,,,,,,Fine Dining,,Pasta, Salad, Sea Food, Coffee, Paan Ice Cream, Fish, Lamb, Bund Garden Road
9,"Aasmana: The RitzCarlton
                                    ",['Fine Dining'],"Ritz Carlton, Yerwada",3.7,22.0,3.8,0.0,3000,Mughlai,Biryani,ebab,North Indian,,,,,Fine Dining,,,,,,,,, Yerwada
10,"abana  Conrad Pune
                                    ",['Lounge'],"Conrad Pune, Bund Garden Road",4.0,95.0,3.8,0.0,3000,Italian,Continental,,,,,,,Lounge,,Pizza, Fish,,,,,, Bund Garden Road
11,"Masu  Conrad Pune
                                    ",['Bar'],"Conrad Pune, Bund Garden Road",3.8,79.0,3.8,0.0,3000,Asian,,,,,,,,Bar,,Coctails,,,,,,, Bund Garden Road
12,"Level 12  DoubleTree By Hilton Hotel
                                    ","['Lounge', 'Fine Dining']",DoubleTree By Hilton Hotel,4.2,336.0,3.8,0.0,3000,Bar Food,Mughlai,North Indian,,,,,,Lounge,Fine Dining,Biryani, Butter Chicen, ulfi, Amritsari ulcha, Chaat, Veg Platter, Moctails,DoubleTree By Hilton Hotel
13,"itsch  The O Hotel
                                    ",['Fine Dining'],"The O Hotel, oregaon Par",3.9,227.0,3.8,0.0,2900,North Indian,European,Italian,,,,,,Fine Dining,,Salad, Pasta, Pizza, Coctails, Aloo Tii, Rasmalai, Cheesecae, oregaon Par
14,"Roof Top Bar  Sheraton Grand
                                    ",['Casual Dining'],Bund Garden Road,3.4,21.0,3.8,0.0,2900,ebab,Seafood,North Indian,,,,,,Casual Dining,,,,,,,,,Bund Garden Road
15,"Connexions Lounge & Bar  Ramada Plaza
                                    ","['Lounge', 'Bar']","Ramada Plaza, Hinjewadi",3.4,19.0,3.8,0.0,2900,Fast Food,Finger Food,,,,,,,Lounge,Bar,,,,,,,, Hinjewadi
16,"Asian Harbour  Vivanta Pune
                                    ",['Casual Dining'],"Vivanta Pune, Hinjewadi",3.6,23.0,3.8,0.0,2700,Asian,,,,,,,,Casual Dining,,,,,,,,, Hinjewadi
17,"Oa Lounge  Marriott Suites Pune
                                    ",['Lounge'],Marriott Suites Pune,4.2,845.0,3.8,0.0,2700,Finger Food,,,,,,,,Lounge,,Coctails, Pizza, Wine,,,,,Marriott Suites Pune
18,"The Cafè  Hyatt Regency Pune
                                    ",['Fine Dining'],"The Hyatt Regency, Nagar Road",4.3,675.0,3.8,0.0,2600,Continental,Asian,North Indian,,,,,,Fine Dining,,Salad, Sushi, Fish, Biryani, Noodle, Chaat, Panipuri, Nagar Road
19,"Eighty Eight  Hyatt Pune
                                    ",['Fine Dining'],"Hyatt Pune, Nagar Road",3.8,310.0,3.8,0.0,2600,Healthy Food,Italian,North Indian,Continental,,,,,Fine Dining,,Pizza, Pasta, Salad, Breafast Buffet, Fish, Tea, Risotto, Nagar Road
20,"Easy  Blue Diamond
                                    ",['Lounge'],"Blue Diamond, oregaon Par",3.5,38.0,3.8,0.0,2600,Finger Food,Continental,,,,,,,Lounge,,,,,,,,, oregaon Par
21,"Paasha  JW Marriott Pune
                                    ",['Fine Dining'],"JW Marriott Pune, Senapati Bapat Road",4.8,3319.0,3.8,0.0,2500,Biryani,ebab,North Indian,,,,,,Fine Dining,,Coctails, Moctails, Biryani, Dal Mahani, Wine, Paneer Tia, Murgh Peshawari, Senapati Bapat Road
22,"Evviva Sy Lounge  Crowne Plaza Pune City Centre
                                    ",['Lounge'],"Crowne Plaza Pune City Centre, Bund Garden Road",4.3,744.0,3.8,0.0,2500,Mexican,ebab,Bar Food,,,,,,Lounge,,Coctails, Paneer Tia, Nachos, Paratha, Mojito, Salad, Murgh Peshawari, Bund Garden Road
23,"Mosaic  Crowne Plaza Pune City Centre
                                    ",['Casual Dining'],"Crowne Plaza Pune City Centre, Bund Garden Road",4.1,294.0,3.8,0.0,2500,Fast Food,North Indian,,,,,,,Casual Dining,,Roti, Salad, Chai, Dahi Vada, Coffee, Paratha, Dal Bati, Bund Garden Road
24,"Uiyo: The RitzCarlton
                                    ",['Fine Dining'],"Ritz Carlton, Yerwada",3.9,21.0,3.8,0.0,2500,Asian,Japanese,,,,,,,Fine Dining,,,,,,,,, Yerwada
25,"MiaMi  JW Marriott Pune
                                    ",['Club'],"JW Marriott Pune, Senapati Bapat Road",4.4,2074.0,3.8,0.0,2500,Finger Food,,,,,,,,Club,,Coctails, Moctails, Beer, Pizza, Chicen Wings, Fire Shots, Fries, Senapati Bapat Road
26,"TGI Fridays
                                    ","['Bar', 'Casual Dining']","Seasons Mall, Magarpatta ",4.1,1360.0,3.8,0.0,2500,Desserts,Salad,Italian,Mexican,American,,,,Bar,Casual Dining,Coctails, Burgers, Nachos, Pizza, Pasta, Beer, Chicen Wings, Magarpatta 
27,"Chingari  Sheraton Grand
                                    ",['Fine Dining'],"Sheraton Grand, Bund Garden Road",4.2,559.0,3.8,0.0,2500,Mughlai,North Indian,,,,,,,Fine Dining,,Chicen Dum Biryani, Butter Chicen, Galauti ebab, Dal Mahani, Dal Tii, Chicen ebab, Coctails, Bund Garden Road
28,"The House Of Medici  The Westin
                                    ",['Lounge'],"The Westin, Mundhwa",3.9,284.0,3.8,0.0,2500,Continental,Asian,,,,,,,Lounge,,Coctails, Onion Rings, Risotto, Beer,,,, Mundhwa
29,"Whispering Bamboo  Blue Diamond
                                    ",['Fine Dining'],"Blue Diamond, oregaon Par",4.3,244.0,3.8,0.0,2500,Asian,Chinese,,,,,,,Fine Dining,,Noodle, Lamb, Dumplings, Sweet Corn Chicen Soup, Clear Soup, imchi, Golden Fried Prawns, oregaon Par
30,"Eurisa
                                    ","['Lounge', 'Casual Dining']",Mundhwa,4.2,1088.0,3.8,0.0,2500,Salad,Gree,Mediterranean,Italian,Finger Food,,,,Lounge,Casual Dining,Coctails, Salad, Pizza, Moctails, Balava, Pasta, Tiramisu,Mundhwa
31,"Mystic Masala  Blue Diamond
                                    ",['Fine Dining'],"Blue Diamond, oregaon Par",4.1,168.0,3.8,0.0,2500,Maharashtrian,Mughlai,North Indian,,,,,,Fine Dining,,Mutton Suha, Fish, Stuffed Mushroom, Salad, Lassi, Rolls, Sol adhi, oregaon Par
32,"Bar 101  JW Marriott Pune
                                    ",['Bar'],"JW Marriott Pune, Senapati Bapat Road",3.9,56.0,3.8,0.0,2500,Finger Food,,,,,,,,Bar,,,,,,,,, Senapati Bapat Road
33,"Coffee to Coctails Bar  Hyatt Place
                                    ",['Fine Dining'],"Hyatt Place, Hinjewadi  ",3.6,30.0,3.8,0.0,2500,North Indian,,,,,,,,Fine Dining,,,,,,,,, Hinjewadi  
34,"Villa Bistro
                                    ","['Casual Dining', 'Bar']",Lonavala,3.8,49.0,3.8,0.0,2500,Chinese,North Indian,Beverages,Finger Food,,,,,Casual Dining,Bar,,,,,,,,Lonavala
35,"Sye Lounge Bar  Radisson Blu Hotel
                                    ",['Bar'],"Radisson Blu Hotel, haradi",3.1,35.0,3.8,0.0,2500,Continental,Finger Food,,,,,,,Bar,,,,,,,,, haradi
36,"Zen Bar
                                    ",['Bar'],"Hotel Mercure, Lavasa",3.6634499896458945,,3.8,0.0,2400,Finger Food,,,,,,,,Bar,,,,,,,,, Lavasa
37,"Payatha  Ethnic Foothill Restaurant
                                    ",['Casual Dining'],"Fort Jadhavgadh, Hadapsar",3.4,88.0,3.8,0.0,2400,North Indian,Maharashtrian,,,,,,,Casual Dining,,Rabri, Fish, Malpua, Pasta,,,, Hadapsar
38,"Boteco  Restaurante Brasileiro
                                    ","['Casual Dining', 'Bar']",oregaon Par,4.8,764.0,4.1,496.0,2300,South American,Stea,Brazilian,,,,,,Casual Dining,Bar,Coctails, Stea, Profiterole, Por Momo, Lamb, Churros, Salad,oregaon Par
39,"Independence Brewing Company
                                    ","['Bar', 'Casual Dining']",Mundhwa,4.6,2505.0,3.8,0.0,2300,Fast Food,Malwani,North Indian,Continental,,,,,Bar,Casual Dining,Beer, Nachos, Moctails, Beef Burger, Corn Chaat, Chocolate Mousse, Haryali Paneer Tia,Mundhwa
40,"Buzz  Vivanta Pune
                                    ",['Casual Dining'],"Vivanta Pune, Hinjewadi",4.3,456.0,3.8,0.0,2300,Beverages,Fast Food,Mughlai,Continental,Italian,Healthy Food,North Indian,,Casual Dining,,Salad, Pizza, Moctails, Pasta, Noodle, Chicen Grill, Fish, Hinjewadi
41,"Chapter Seven Sybar & itchen
                                    ","['Bar', 'Casual Dining']",Waad,4.0,402.0,3.2,33.0,2300,Chinese,North Indian,Italian,Bar Food,,,,,Bar,Casual Dining,Moctails, Coctails, Brownie, Peri Peri Chicen, Pepper Chicen, Naan, Paneer Peri Peri,Waad
42,"Spice itchen  JW Marriott Pune
                                    ",['Fine Dining'],"JW Marriott Pune, Senapati Bapat Road",4.5,1757.0,3.8,0.0,2200,European,South Indian,North Indian,Asian,Italian,,,,Fine Dining,,Salad, Pizza, Waffles, Dal Mahani, Noodle, Pasta, Breafast Buffet, Senapati Bapat Road
43,"1000 Oas
                                    ","['Casual Dining', 'Bar']",East Street,4.4,1902.0,3.9,60.0,2200,Bar Food,Seafood,Mughlai,North Indian,,,,,Casual Dining,Bar,Coctails, Tandoori Mushrooms, Dal Mahani, Chicen Biryani, Long Island Iced Tea, Moctails, Naan,East Street
44,"Cuba Libre
                                    ","['Bar', 'Casual Dining']","Phoenix Maret City, Viman Nagar",4.0,951.0,3.8,0.0,2200,Beverages,North Indian,Italian,Continental,Finger Food,,,,Bar,Casual Dining,Coctails, Fish, Pizza, Nachos, Chicen Wings, Fries, Stuffed Chicen, Viman Nagar
45,"The Great abab Factory  Radisson Blu Hotel
                                    ","['Fine Dining', 'Bar']","Radisson Blu Hotel, haradi",4.2,415.0,3.8,0.0,2200,North Indian,Mughlai,,,,,,,Fine Dining,Bar,Galauti ebab, Biryani, ulfi, Paan Ice Cream, Gulab Jamun, Moctails, Phirni, haradi
46,"Felix Bar  Ramada Plaza
                                    ",['Lounge'],"Ramada Plaza, Hinjewadi",3.3,26.0,3.8,0.0,2200,Finger Food,,,,,,,,Lounge,,,,,,,,, Hinjewadi
47,"Blinque  Parc Estique
                                    ",['Bar'],"Parc Estique, Viman Nagar",3.2,36.0,3.8,0.0,2200,Finger Food,,,,,,,,Bar,,,,,,,,, Viman Nagar
48,"Mix  Hotel Royal Orchid Central
                                    ",['Lounge'],Hotel Royal Orchid Central alyani Nagar,3.4,15.0,3.8,0.0,2200,North Indian,Continental,Finger Food,,,,,,Lounge,,,,,,,,,Hotel Royal Orchid Central alyani Nagar
49,"Savya Rasa
                                    ","['Fine Dining', 'Bar']",oregaon Par,4.9,1245.0,4.1,223.0,2100,Chettinad,erala,Mangalorean,South Indian,,,,,Fine Dining,Bar,Appam, Neer Dosa, Coctails, Fish, Vegetable Stew, Coffee, Paratha,oregaon Par
50,"24/7 Gallery Café  Hyatt Place
                                    ","['Fine Dining', 'Bar']","Hyatt Place, Hinjewadi  ",3.9,322.0,3.8,0.0,2100,Desserts,Continental,Chinese,North Indian,,,,,Fine Dining,Bar,Salad, Chaat, Fish, Chicen Tia, Lunch Buffet, Dal Mahani, Brownie, Hinjewadi  
51,"MoMo 2Go  Courtyard By Marriott Pune Hinjewadi
                                    ",['Casual Dining'],"Courtyard By Marriott, Hinjewadi",3.9,118.0,3.8,0.0,2100,Beverages,Desserts,North Indian,Thai,Fast Food,Maharashtrian,,,Casual Dining,,Salad, Fish, Brownie Chocolate, Pizza, Noodle, Momos, Pasta, Hinjewadi
52,"Senses  Marriott Suites Pune
                                    ","['Fine Dining', 'Bar']",Marriott Suites Pune,4.4,713.0,3.8,0.0,2100,Desserts,Italian,Fast Food,Salad,North Indian,Asian,Continental,,Fine Dining,Bar,Salad, Chicen Biryani, Fish, Pasta, Gulab Jamun, Lunch Buffet, Moctails,Marriott Suites Pune
53,"Cafe 24
                                    ","['Fine Dining', 'Bar']",Della Adventure Resort,4.4,885.0,3.8,0.0,2100,Asian,North Indian,Italian,European,Continental,,,,Fine Dining,Bar,Biryani, Pizza, Moctails, Coffee, Pasta, Coctails, Salad,Della Adventure Resort
54,"Puran Da Dhaba  Pride Hotel
                                    ",['Casual Dining'],The Pride Hotel Shivaji Nagar,3.9,234.0,3.8,0.0,2100,North Indian,,,,,,,,Casual Dining,,Mae i Roti, Sarso Da Saag, Balushahi, Chaat, Rabri, Aloo Tii, Jalebi,The Pride Hotel Shivaji Nagar
55,"Xtasy Lounge Bar
                                    ","['Lounge', 'Casual Dining']",The Pride Hotel Shivaji Nagar,3.4,31.0,3.8,0.0,2100,North Indian,Continental,,,,,,,Lounge,Casual Dining,,,,,,,,The Pride Hotel Shivaji Nagar
56,"Amnesia
                                    ","['Casual Dining', 'Bar']",Hotel Orritel Convention & Wedding Resort,2.9,4.0,3.8,0.0,2100,Finger Food,North Indian,,,,,,,Casual Dining,Bar,,,,,,,,Hotel Orritel Convention & Wedding Resort
57,"Little Italy
                                    ",['Casual Dining'],ondhwa,4.2,687.0,4.2,756.0,2000,Beverages,Salad,Pizza,Mexican,Italian,,,,Casual Dining,,Pizza, Nachos, Chocolate Bomb, Ravioli, Lasagne, Pasta Barbaresca, Spaghetti,ondhwa
58,"Effingut
                                    ",['Pub'],Baner,4.7,2894.0,4.5,649.0,2000,Asian,Italian,Mughlai,North Indian,Continental,,,,Pub,,Apple Cider, Craft Beer, Nachos, Coctails, Buffalo Wings, Hefeweizen, Brownie Chocolate,Baner
59,"Spice Factory
                                    ","['Casual Dining', 'Bar']",haradi,4.2,1675.0,3.0,2868.0,2000,European,North Indian,Chinese,,,,,,Casual Dining,Bar,Coctails, Brownie, Moctails, Biryani, Dal Mahani, Tandoori Chicen, Paneer Chatpata Tia,haradi
60,"Little Italy
                                    ",['Casual Dining'],ondhwa,4.2,687.0,4.2,756.0,2000,Beverages,Salad,Pizza,Mexican,Italian,,,,Casual Dining,,Pizza, Nachos, Chocolate Bomb, Ravioli, Lasagne, Pasta Barbaresca, Spaghetti,ondhwa
61,"Little Italy
                                    ",['Casual Dining'],Bund Garden Road,4.5,1126.0,3.9,876.0,2000,Beverages,Salad,Pizza,Mexican,Italian,,,,Casual Dining,,Pasta, Pizza, Nachos, Salad, Chocolate Bomb, Mushroom Soup, Tiramisu,Bund Garden Road
62,"Little Italy
                                    ",['Casual Dining'],Chinchwad,4.2,640.0,4.0,640.0,2000,Beverages,Mexican,Italian,,,,,,Casual Dining,,Pasta, Pizza, Nachos, Salad, Brownie, Tiramisu, Moctails,Chinchwad
63,"Little Italy
                                    ","['Casual Dining', 'Bar']",Shivaji Nagar,4.5,2698.0,4.5,847.0,1500,Beverages,Mexican,Italian,,,,,,Casual Dining,Bar,Pasta, Pizza, Nachos, Tiramisu, Lasagne, Salad, Chocolate Bomb,Shivaji Nagar
64,"Little Italy
                                    ",,haradi,3.4,72.0,3.8,0.0,200,Mexican,Italian,,,,,,,,,,,,,,,,haradi
65,"Shisha Jazz Cafe
                                    ","['Lounge', 'Casual Dining']","ABC Farms,Mundhwa",4.4,2843.0,3.9,30.0,2000,Continental,North Indian,Iranian,,,,,,Lounge,Casual Dining,Beer, Chicen Lasagne, Coctails, Butter Chicen, Nachos, Veg Lasagna, Chaat,Mundhwa
66,"Fly High
                                    ",['Bar'],Hinjawadi,4.2,1026.0,3.6,492.0,2000,Thai,Seafood,North Indian,Chinese,Italian,Continental,,,Bar,,Fish, Peri Peri Chicen, Chicen Nachos, Coctails, Biryani, Long Island Iced Tea, Moctails,Hinjawadi
67,"The Daily All Day
                                    ","['Casual Dining', 'Bar']",oregaon Par,4.5,898.0,4.4,341.0,2000,Italian,Continental,Asian,European,,,,,Casual Dining,Bar,Coctails, Drunen Prawn, Moctails, Vanilla Ice Cream, Salad, Panna Cotta, Beer,oregaon Par
68,"Latitude  Blue Diamond
                                    ",['Fine Dining'],"Blue Diamond, oregaon Par",4.3,753.0,3.8,0.0,2000,Salad,South Indian,European,Italian,Mediterranean,North Indian,,,Fine Dining,,Pizza, Biryani, Pasta, Fish, Salad, eema Pav, Tea, oregaon Par
69,"Marmalade
                                    ",['Casual Dining'],Aundh,3.7,23.0,3.8,0.0,2000,Beverages,Desserts,Italian,,,,,,Casual Dining,,,,,,,,,Aundh
70,"Cafe 1730
                                    ","['Bar', 'Casual Dining']","City Hub @ WTC, haradi",4.5,1705.0,3.8,444.0,2000,North Indian,Goan,Continental,Italian,,,,,Bar,Casual Dining,Pasta, Pizza, Butter Chicen, Lasagne, Chicen Stea, Nachos, Salad, haradi
71,"Retox
                                    ","['Pub', 'Casual Dining']",Viman Nagar,4.4,1599.0,3.8,0.0,2000,North Indian,European,Asian,,,,,,Pub,Casual Dining,Coctails, Fries, Long Island Iced Tea, Burgers, Nachos, Moctails, Dal ichadi,Viman Nagar
72,"The  Factory
                                    ","['Casual Dining', 'Lounge']",Baner,4.6,3742.0,3.9,252.0,2000,Beverages,Biryani,Charcoal Chicen,Salad,Desserts,North Indian,Italian,Continental,Casual Dining,Lounge,Pasta, Salad, Cheesecae, Coctails, Pizza, Peri Peri Chicen, Caramel Panna Cotta,Baner
73,"Three itchens Restaurant And Bar: The RitzCarlton
                                    ",['Casual Dining'],"Ritz Carlton, Yerwada",4.0,54.0,3.8,0.0,2000,European,Asian,North Indian,,,,,,Casual Dining,,,,,,,,, Yerwada
74,"Daily Treats  The Westin
                                    ","['Café', 'Dessert Parlor']","The Westin, Mundhwa",4.0,198.0,3.8,0.0,2000,Beverages,Continental,Cafe,,,,,,Café,Dessert Parlor,Coffee, Cappuccino, Dal Tada, Tea, Fruit Pastry, Burgers, Hot Chocolate, Mundhwa
75,"The 1st Brewhouse  The Corinthians
                                    ","['Microbrewery', 'Pub']","The Corinthians, ondhawa",4.4,2240.0,3.8,0.0,2000,North Indian,Finger Food,,,,,,,Microbrewery,Pub,Apple Cider, Chilli Chicen, Coctails, Pasta, Craft Beer, Moctails, Masala Peanuts, ondhawa
76,"Café Delhi Heights
                                    ","['Casual Dining', 'Café']","Phoenix Maret City, Viman Nagar",4.3,587.0,3.5,81.0,2000,Cafe,Continental,Modern Indian,Asian,,,,,Casual Dining,Café,Galauti ebab, Burgers, Pizza, Coffee, Salad, Pasta, Dal Mahani, Viman Nagar
77,"Zeta  Hyatt Regency Pune
                                    ",['Casual Dining'],"The Hyatt Regency, Nagar Road",4.4,288.0,3.8,0.0,2000,Italian,Continental,European,,,,,,Casual Dining,,Salad, Tiramisu, Chocolate Mousse, Cauliflower Soup, Burgers, Ravioli, Bannoffee Pie, Nagar Road
78,"Classic Roc Cafe & Comedy
                                    ","['Bar', 'Casual Dining']",alyani Nagar,4.5,2933.0,3.9,363.0,2000,North Indian,Asian,Italian,Continental,Bar Food,,,,Bar,Casual Dining,Coffee, Coctails, Beer, Moctails, Pasta, Nachos, Chicen Biryani,alyani Nagar
79,"Punjab Grill
                                    ",['Casual Dining'],"Phoenix Maret City, Viman Nagar",4.2,1742.0,3.7,703.0,2000,Mughlai,North Indian,,,,,,,Casual Dining,,Dal Mahani, Paan Shot, Butter Chicen, Chicen Biryani, Chicen Tia, Murgh Lababdar, Paneer Lababdar, Viman Nagar
80,"Sorriso Marriott Suites Pune
                                    ",['Casual Dining'],Marriott Suites Pune,4.2,241.0,3.8,0.0,2000,Italian,,,,,,,,Casual Dining,,Pasta, Tiramisu, Wine, Salad, Por Burger, Thin Crust Pizza, Coctails,Marriott Suites Pune
81,"Sunny Da Dhaba
                                    ",['Dhaba'],Old MumbaiPune Highway,3.9,833.0,3.8,0.0,2000,Chinese,Mughlai,North Indian,,,,,,Dhaba,,Butter Chicen, Lassi, Dal Mahani, Rumali Roti, Tandoori Chicen, Lamb, Chicen Lamba,Old MumbaiPune Highway
82,"Ground Up
                                    ",['Casual Dining'],Viman Nagar,4.1,83.0,3.8,0.0,2000,Mexican,Continental,Asian,,,,,,Casual Dining,,Sandwich, Chocolate Tart, Banh Mi, Noodle, Tomatillo Salsa,,,Viman Nagar
83,"The Eatery  Four Points by Sheraton
                                    ","['Casual Dining', 'Bar']","Four Points by Sheraton, Viman Nagar",4.0,258.0,3.9,41.0,2000,Italian,Asian,South Indian,North Indian,,,,,Casual Dining,Bar,Biryani, Breafast Buffet, Fish, Sandwich, Croissant, Waffles, Tea, Viman Nagar
84,"The Fishbowl  Hyatt Pune
                                    ",['Lounge'],"Hyatt Pune, Nagar Road",4.0,154.0,3.8,0.0,2000,Finger Food,,,,,,,,Lounge,,Coctails, Mutton Seeh ebab, Pizza, Fish Bowl,,,, Nagar Road
85,"Arirang Restaurant
                                    ",['Casual Dining'],haradi,3.2,4.0,3.8,0.0,2000,orean,,,,,,,,Casual Dining,,,,,,,,,haradi
86,"1 Lounge and Restaurant
                                    ",['Lounge'],Mundhwa,4.0,848.0,3.9,67.0,2000,Mughlai,North Indian,European,Finger Food,,,,,Lounge,,Coctails, Moctails, Mashed Potato, Thin Crust Pizza, Cheese Balls, Pasta, Fish Tia,Mundhwa
87,"Plunge  All Day itchen and Bar
                                    ","['Bar', 'Casual Dining']",oregaon Par,4.2,347.0,3.8,0.0,2000,Chinese,North Indian,Continental,,,,,,Bar,Casual Dining,Coctails, Pizza, White Sauce Pasta, Moctails, Naan, Lasagne, Jalapeno Nuggets,oregaon Par
88,"The Cult  House
                                    ","['Lounge', 'Casual Dining']",Magarpatta,3.6,120.0,3.8,0.0,2000,Bar Food,Asian,Finger Food,Sushi,Continental,Modern Indian,,,Lounge,Casual Dining,Dumplings,,,,,,,Magarpatta
89,"Carmine  Radisson Blu Hotel
                                    ",['Casual Dining'],"Radisson Blu Hotel, haradi",3.8,161.0,3.8,0.0,2000,Mughlai,Continental,North Indian,,,,,,Casual Dining,,Pasta, Salad, Misal, Healthy Breafast, Noodle, Smoey Chicen,, haradi
90,"Soa  Novotel
                                    ",['Lounge'],"Novotel, Nagar Road",3.5,41.0,3.8,0.0,2000,American,Italian,North Indian,,,,,,Lounge,,,,,,,,, Nagar Road
91,"Oaleaf at Oawood Residence
                                    ",['Casual Dining'],Bund Garden Road,3.3,34.0,3.8,0.0,2000,North Indian,Continental,Asian,Italian,,,,,Casual Dining,,,,,,,,,Bund Garden Road
92,"Bar Code  Novotel
                                    ",['Bar'],"Novotel, Nagar Road",3.3,32.0,3.8,0.0,2000,Finger Food,,,,,,,,Bar,,,,,,,,, Nagar Road
93,"Dumb & Dumber
                                    ","['Bar', 'Casual Dining']",FC Road,3.4,122.0,3.8,0.0,2000,European,Bar Food,Fast Food,,,,,,Bar,Casual Dining,Coctails, Butter Chicen, Pizza, Tandoori Chicen, Chicen Tia, Naan, Nachos,FC Road
94,"Xanadu  Ambrosia Resort & Spa
                                    ",['Lounge'],Ambrosia Resort and Spa,3.7,92.0,3.8,0.0,2000,Finger Food,,,,,,,,Lounge,,Coctails, Beer, Nachos,,,,,Ambrosia Resort and Spa
95,"Anytime Coffee Shop
                                    ",['Fine Dining'],Pancard Clubs,2.9,12.0,3.8,0.0,2000,Chinese,Continental,North Indian,,,,,,Fine Dining,,,,,,,,,Pancard Clubs
96,"The Chinese Restaurant
                                    ",['Fine Dining'],Mundhwa,3.6634499896458945,,3.8,0.0,2000,Cantonese,Chinese,,,,,,,Fine Dining,,,,,,,,,Mundhwa
97,"The Long Bar
                                    ","['Bar', 'Casual Dining']",Waad,3.8,29.0,3.8,0.0,2000,American,Chinese,South Indian,Mughlai,Continental,,,,Bar,Casual Dining,,,,,,,,Waad
98,"Nation 330
                                    ","['Pub', 'Casual Dining']","Aditya Shagun Mall, Bavdhan",3.8,55.0,3.8,0.0,2000,Mediterranean,Italian,,,,,,,Pub,Casual Dining,,,,,,,, Bavdhan
99,"Coffee Shop  Fariyas Holiday Resort
                                    ",['Casual Dining'],"Fariyas Holiday Resort, Lonavala",3.7,68.0,3.8,0.0,2000,North Indian,Chinese,Continental,,,,,,Casual Dining,,Fish, Sandwich,,,,,, Lonavala
100,"Fusion Fantasea
                                    ","['Bar', 'Casual Dining']",Erandwane,3.6634499896458945,,3.8,0.0,2000,Chinese,Mughlai,Malwani,North Indian,Continental,,,,Bar,Casual Dining,,,,,,,,Erandwane
101,"The Single Malt And Co.  Hyatt Regency Pune
                                    ",['Bar'],"The Hyatt Regency, Nagar Road",3.9,102.0,3.8,0.0,1950,Finger Food,,,,,,,,Bar,,Beer, Coctails,,,,,, Nagar Road
102,"The Bar Stoc Exchange
                                    ","['Pub', 'Casual Dining']",FC Road,3.6634499896458945,,3.8,0.0,1900,Italian,North Indian,Chinese,Continental,,,,,Pub,Casual Dining,,,,,,,,FC Road
103,"Rainforest Resto Bar
                                    ","['Bar', 'Casual Dining']","Phoenix Maret City, Viman Nagar",4.2,1937.0,3.8,0.0,1900,Desserts,Salad,Italian,Mughlai,Continental,Chinese,North Indian,,Bar,Casual Dining,Coctails, Beer, Moctails, Pasta, Mojito, Paneer Sizzler, Chicen Tia, Viman Nagar
104,"PNF Restaurant & Bar
                                    ",['Casual Dining'],Della Adventure Resort,4.3,580.0,3.8,0.0,1900,Finger Food,Asian,North Indian,,,,,,Casual Dining,,Gulab Jamun, Naan, Tandoori Roti, Haa Noodles,,,,Della Adventure Resort
